Diện tích,Phòng ngủ,WC,Giá gốc,Loại,Ngày đăng
60 m²,6 PN,6 WC,26900000000,"Nhà hẻm, ngõ",2025-06-27
"80,8 m²",6 PN,5 WC,31600000000,"Nhà hẻm, ngõ",2025-06-27
175 m²,,,760000000,Đất thổ cư,2025-06-27
22 m²,3 PN,3 WC,2860000000,"Nhà hẻm, ngõ",2025-06-27
"39,1 m²",4 PN,4 WC,2555000000,"Nhà hẻm, ngõ",2025-06-27
25 m²,3 PN,4 WC,12700000000,Nhà mặt tiền,2025-06-27
104 m²,,,24500000000,"Nhà hẻm, ngõ",2025-06-27
40 m²,,,2200000000,"Nhà hẻm, ngõ",2025-06-27
40 m²,4 PN,3 WC,4150000000,"Nhà hẻm, ngõ",2025-06-27
"42,6 m²",4 PN,3 WC,16800000000,Nhà mặt tiền,2025-06-27
85 m²,6 PN,7 WC,16500000000,Nhà mặt tiền,2025-06-27
42 m²,,,20500000000,Nhà mặt tiền,2025-06-27
900 m²,2 PN,1 WC,6000000000,"Nhà hẻm, ngõ",2025-06-27
91 m²,2 PN,3 WC,6500000000,"Nhà hẻm, ngõ",2025-06-27
100 m²,3 PN,2 WC,12300000000,"Nhà hẻm, ngõ",2025-06-27
24 m²,2 PN,2 WC,1400000000,"Nhà hẻm, ngõ",2025-06-27
36 m²,,,5800000000,Nhà mặt tiền,2025-06-27
64 m²,,,6400000000,"Nhà hẻm, ngõ",2025-06-27
238 m²,,,7000000000,"Đất dự án, Khu dân cư",2025-06-27
"21,5 m²",,,6310000000,"Nhà hẻm, ngõ",2025-06-27
90 m²,,,7600000000,"Đất dự án, Khu dân cư",2025-06-27
105 m²,,,109000000000,Nhà mặt tiền,2025-06-27
300 m²,11 PN,15 WC,28000000000,Nhà mặt tiền,2025-06-27
68 m²,3 PN,,38000000000,Nhà mặt tiền,2025-06-27
44 m²,7 PN,4 WC,11735000000,"Nhà hẻm, ngõ",2025-06-27
"1.529,4 m²",,,26000000000,Đất thổ cư,2025-06-27
"189,9 m²",5 PN,5 WC,63000000000,Nhà mặt tiền,2025-06-27
160 m²,,,23200000000,"Đất dự án, Khu dân cư",2025-06-27
90 m²,,,10000000000,Nhà mặt tiền,2025-06-27
115 m²,,,2450000000,Đất thổ cư,2025-06-27
65 m²,,,39500000000,Nhà mặt tiền,2025-06-27
5.200 m²,,,30000000000,Đất thổ cư,2025-06-27
"80,3 m²",,,283680000,Đất thổ cư,2025-06-27
"63,5 m²",,,11600000000,"Nhà hẻm, ngõ",2025-06-27
56 m²,4 PN,5 WC,7800000000,"Nhà hẻm, ngõ",2025-06-27
5.564 m²,,,210000000000,Nhà mặt tiền,2025-06-27
133 m²,5 PN,5 WC,15900000000,Nhà mặt tiền,2025-06-27
35 m²,3 PN,3 WC,31500000000,Nhà mặt tiền,2025-06-27
"122,5 m²",,,18000000000,Đất thổ cư,2025-06-27
48 m²,,,7600000000,Nhà mặt tiền,2025-06-27
75 m²,,,15500000000,"Nhà hẻm, ngõ",2025-06-27
500 m²,,,2950000000,Đất thổ cư,2025-06-27
70 m²,4 PN,2 WC,11200000000,"Nhà hẻm, ngõ",2025-06-27
"69,1 m²",2 PN,2 WC,1800000000,Chung cư,2025-06-27
378 m²,10 PN,11 WC,17000000000,Nhà mặt tiền,2025-06-27
38 m²,,,10000000000,Nhà mặt tiền,2025-06-27
48 m²,4 PN,3 WC,4950000000,"Nhà hẻm, ngõ",2025-06-27
51 m²,,,21800000000,Nhà mặt tiền,2025-06-27
172 m²,,,1330000000,Đất thổ cư,2025-06-27
204 m²,6 PN,15 WC,135000000000,Nhà mặt tiền,2025-06-27
123 m²,,,6300000000,Đất thổ cư,2025-06-27
776 m²,,,13000000000,Đất thổ cư,2025-06-27
90 m²,,,47500000000,Nhà mặt tiền,2025-06-27
150 m²,2 PN,1 WC,5350000000,Chung cư,2025-06-27
"41,3 m²",4 PN,5 WC,8600000000,"Nhà hẻm, ngõ",2025-06-27
83 m²,,,2300000000,Đất thổ cư,2025-06-27
79 m²,,,1948000000,Đất thổ cư,2025-06-27
42 m²,,,16500000000,"Nhà hẻm, ngõ",2025-06-27
