Product_Name,Product_Link,New_Price,Old_Price,screen_size,cpu,os,internal_storage,ram,battery_capacity,color,product_condition,brand,main_camera,selfie_camera,resolution,fast_charging
iPhone 16e 256GB Chính Hãng VN/A,https://clickbuy.com.vn/iphone-16e-256gb.html,18.990.000 ₫,Liên hệ,6.1 inches,Apple A18,iOS,256GB,,Thời gian xem video Lên đến 26 giờ - thời gian xem video (trực tuyến) Lên đến 21 giờ,"Black, White",New,A,48MP,12MP,2532 x 1170 pixels,
iPhone 16e 512GB Chính Hãng VN/A,https://clickbuy.com.vn/iphone-16e-512gb.html,25.190.000 ₫,Liên hệ,6.1 inches,Apple A18,iOS,512GB,,Thời gian xem video Lên đến 26 giờ - thời gian xem video (trực tuyến) Lên đến 21 giờ,"Black, White",New,A,48MP,12MP,2532 x 1170 pixels,
iPhone 15 128GB VN/A - Tặng BH rơi vỡ vào nước,https://clickbuy.com.vn/iphone-15.html,15.490.000 ₫,23.990.000 ₫,,Apple A16 Bionic,iOS 16,128GB,6GB,3.349 mAh,"Space Black, Starlight, Yellow, Green, Pink",new,,Camera chính: 48MP Camera góc siêu rộng: 12MP Camera tele: 12MP,,,
iPhone 15 256GB VN/A - Tặng BH rơi vỡ vào nước,https://clickbuy.com.vn/iphone-15-256gb.html,18.490.000 ₫,Liên hệ,,6‑core CPU,,256GB,6GB,,,,,Camera chính: 48MP Camerra góc rộng: 12MP Camera Tele: 12MP,12MP,,
TECNO Pova 6 (8+8GB/256GB) - 1 Đổi 1 12 Tháng,https://clickbuy.com.vn/tecno-pova-6.html,5.490.000 ₫,6.490.000 ₫,6.78”FHD+ | Amoled | 120Hz,MTK Helio G99 Ultimate,Android 14,256GB,8GB,6000mAh,"Gray, Green, Blue",New,Tecno,108 MP,32 MP,1080 x 2460 pixels (FHD+),70W
TECNO POVA 6 NEO (8+8/128GB) - 1 Đổi 1 12 Tháng,https://clickbuy.com.vn/tecno-pova-6neo.html,3.890.000 ₫,4.590.000 ₫,IPS LCD 6.78 inches,Mediatek Helio G99 Ultimate (6 nm),"Android 14, HIOS 14",128GB,8GB,7000 mAh,"Silver, Black, Green",New,TECNO,50 MP,8 MP,1080 x 2460 pixels,33W
Realme Note 60 4GB 64GB - 1 Đổi 1 12 Tháng,https://clickbuy.com.vn/realme-note-60.html,2.590.000 ₫,3.090.000 ₫,"IPS LCD 6.745 inch, 90Hz",UNISOC T612,realme UI Chạy trên nền tảng Android 14,64GB,4GB,Li-po 5000 mAh,"Black, Blue",New,realme,32MP,5MP,HD+ 1600*720,10W
Realme Note 60X 3GB 64GB - 1 Đổi 1 12 Tháng,https://clickbuy.com.vn/realme-note-60x.html,2.090.000 ₫,2.990.000 ₫,"LCD, 6.74 inches, 90 Hz",Unisoc T612,,64GB,3GB,5000 mAh,"Wilderness Green (Xanh Hoang Dã), Marble Black (Đen Cẩm Thạch)",New,realme,8 MP,5 MP,1600x720 (HD+),10W
iPhone 15 Plus 128GB VN/A - Tặng BH rơi vỡ vào nước,https://clickbuy.com.vn/iphone-15-plus.html,18.890.000 ₫,25.990.000 ₫,,,,,,,,,,,,,
iPhone 15 Plus 256GB VN/A - Tặng BH rơi vỡ vào nước,https://clickbuy.com.vn/iphone-15-plus-256gb.html,21.890.000 ₫,Liên hệ,,,,,,,,,,,,,
iPhone 15 Plus 512GB VN/A - Tặng BH rơi vỡ vào nước,https://clickbuy.com.vn/iphone-15-plus-512gb.html,28.590.000 ₫,Liên hệ,,,,,,,,,,,,,
Samsung Galaxy Z Flip6 (5G) 12GB 256GB - 1 Đổi 1 12 Tháng,https://clickbuy.com.vn/galaxy-z-flip-6.html,18.990.000 ₫,28.990.000 ₫,"Màn ngoài: 3,4 inch - Màn Trong: 6,7 inch",Snapdragon 8 Gen 3 (4 nm),"Android 14, One UI 6.1",256GB,8GB,"4000 mAh,","Yellow, Silver Shadow, Mint, Blue",New,Samsung,50MP - 12MP,10MP,1080 x 2640 pixels,25W
