Diện tích,Phòng ngủ,WC,Giá gốc,Loại,Ngày đăng
"178,8 m²",3 PN,2 WC,6700000000,"Nhà hẻm, ngõ",2025-06-18
"52,5 m²",4 PN,3 WC,10900000000,"Nhà hẻm, ngõ",2025-06-18
400 m²,,,245000000000,Nhà mặt tiền,2025-06-18
55 m²,,,36000000000,Nhà mặt tiền,2025-06-18
65 m²,4 PN,3 WC,2700000000,"Nhà hẻm, ngõ",2025-06-18
146 m²,6 PN,6 WC,99000000000,Nhà mặt tiền,2025-06-18
"72,5 m²",2 PN,1 WC,6000000000,"Nhà hẻm, ngõ",2025-06-18
86 m²,4 PN,4 WC,8000000000,"Nhà hẻm, ngõ",2025-06-18
"44,1 m²",5 PN,6 WC,29000000000,Nhà mặt tiền,2025-06-18
1.622 m²,,,63000000000,Đất thổ cư,2025-06-18
29 m²,2 PN,2 WC,3850000000,"Nhà hẻm, ngõ",2025-06-18
100 m²,3 PN,4 WC,730000000,Nhà mặt tiền,2025-06-18
50 m²,,,4800000000,"Nhà hẻm, ngõ",2025-06-18
58 m²,1 PN,1 WC,1300000000,Nhà mặt tiền,2025-06-18
85 m²,4 PN,4 WC,36800000000,Nhà mặt tiền,2025-06-18
16 m²,,,3550000000,"Nhà hẻm, ngõ",2025-06-18
74 m²,2 PN,2 WC,2950000000,Chung cư,2025-06-18
633 m²,,,81500000000,Nhà mặt tiền,2025-06-18
170 m²,,,75000000000,"Đất dự án, Khu dân cư",2025-06-18
1.000 m²,,,799000000,"Đất nông nghiệp, kho bãi",2025-06-18
16 m²,1 PN,1 WC,2000000000,"Nhà hẻm, ngõ",2025-06-18
80 m²,4 PN,5 WC,22000000000,Nhà mặt tiền,2025-06-18
100 m²,,,1850000000,Đất thổ cư,2025-06-18
245 m²,10 PN,10 WC,42900000000,Nhà mặt tiền,2025-06-18
120 m²,17 PN,18 WC,15800000000,Nhà mặt tiền,2025-06-18
215 m²,30 PN,30 WC,21500000000,Nhà mặt tiền,2025-06-18
70 m²,1 PN,1 WC,10500000000,"Nhà hẻm, ngõ",2025-06-18
140 m²,5 PN,5 WC,16800000000,"Nhà hẻm, ngõ",2025-06-18
165 m²,14 PN,14 WC,30900000000,"Nhà hẻm, ngõ",2025-06-18
40 m²,5 PN,4 WC,6800000000,"Nhà hẻm, ngõ",2025-06-18
140 m²,,,600000000,Đất thổ cư,2025-06-18
68 m²,,,2650000000,"Nhà hẻm, ngõ",2025-06-18
90 m²,,,3150000000,Đất thổ cư,2025-06-18
64 m²,,,2050000000,"Nhà hẻm, ngõ",2025-06-18
48 m²,2 PN,2 WC,1750000000,"Nhà hẻm, ngõ",2025-06-18
"207,8 m²",18 PN,18 WC,75000000000,Nhà mặt tiền,2025-06-18
62 m²,2 PN,2 WC,1910000000,Chung cư,2025-06-18
"61,5 m²",5 PN,6 WC,7900000000,"Nhà hẻm, ngõ",2025-06-18
170 m²,4 PN,3 WC,10000000000,Nhà mặt tiền,2025-06-18
98 m²,,,4700000000,Đất thổ cư,2025-06-18
72 m²,2 PN,2 WC,4200000000,Nhà mặt tiền,2025-06-18
77 m²,,,3450000000,Đất thổ cư,2025-06-18
61 m²,2 PN,2 WC,1920000000,Chung cư,2025-06-18
60 m²,,,4500000000,"Nhà hẻm, ngõ",2025-06-18
60 m²,4 PN,3 WC,5550000000,"Nhà hẻm, ngõ",2025-06-18
"67,5 m²",2 PN,1 WC,3590000000,"Nhà hẻm, ngõ",2025-06-18
100 m²,2 PN,1 WC,4350000000,Nhà mặt tiền,2025-06-18
"48,6 m²",1 PN,1 WC,3500000000,Officetel,2025-06-18
138 m²,4 PN,1 WC,22500000000,Nhà mặt tiền,2025-06-18
47 m²,3 PN,2 WC,8450000000,"Nhà hẻm, ngõ",2025-06-18
69 m²,3 PN,3 WC,2890000000,"Nhà hẻm, ngõ",2025-06-18
"46,6 m²",2 PN,2 WC,2290000000,"Nhà hẻm, ngõ",2025-06-18
"45,9 m²",2 PN,2 WC,1940000000,"Nhà hẻm, ngõ",2025-06-18
55 m²,2 PN,2 WC,1780000000,"Nhà hẻm, ngõ",2025-06-18
30 m²,2 PN,2 WC,3500000000,"Nhà hẻm, ngõ",2025-06-18
"43,2 m²",3 PN,2 WC,2760000000,Nhà mặt tiền,2025-06-18
"50,4 m²",3 PN,3 WC,2740000000,"Nhà hẻm, ngõ",2025-06-18
