Name_product,New_price,Old_proce,Deal,Gift_detail,Number_of_review,Link_product
MOBELL M539 (4G) Chính Hãng,"700,000 ₫",,0%,,(0 đánh giá),https://clickbuy.com.vn/mobell-m539.html
Mobell M331 (4G) Chính Hãng,"549,000 ₫",,0%,,(0 đánh giá),https://clickbuy.com.vn/mobell-m331.html
Mobell F309 (4G) Chính Hãng,"760,000 ₫",,0%,,(0 đánh giá),https://clickbuy.com.vn/mobell-f309.html
Mobell  F209 (4G) Chính Hãng,"620,000 ₫",,0%,,(0 đánh giá),https://clickbuy.com.vn/mobell-f209.html
Mobell Rock 4 (4G) Chính Hãng,"810,000 ₫",,0%,,(0 đánh giá),https://clickbuy.com.vn/mobell-rock4.html
Mobell M139 (4G) Chính Hãng,"500,000 ₫",,0%,,(0 đánh giá),https://clickbuy.com.vn/mobell-m139.html
Mobell M139 (4G) Chính Hãng,"500,000 ₫",,0%,,(0 đánh giá),https://clickbuy.com.vn/mobell-m139.html
Điện thoại di động Itel it2600 4G Chính hãng,"479,000 ₫",,0%,,(14 đánh giá),https://clickbuy.com.vn/itel-2600-chinh-hang.html
Điện thoại di động Itel IT8010 4G Chính Hãng,"379,000 ₫",,0%,,(13 đánh giá),https://clickbuy.com.vn/itel-it8010-chinh-hang.html
Nokia HMD 105 4G Chính Hãng,"679,000 ₫",,0%,,(7 đánh giá),https://clickbuy.com.vn/nokia-hmd-105-4g.html
Masstel Fami 60S 4G Chính Hãng,"700,000 ₫",,0%,,(16 đánh giá),https://clickbuy.com.vn/masstel-fami-60s.html
Masstel Fami 12S 4G Chính Hãng,"650,000 ₫",,0%,,(17 đánh giá),https://clickbuy.com.vn/masstel-fami-12s.html
Masstel izi 30 4G Chính Hãng,"600,000 ₫","829,000 ₫",28%,,(15 đánh giá),https://clickbuy.com.vn/masstel-izi-30.html
Masstel izi T2 4G Chính Hãng,"500,000 ₫",,0%,,(14 đánh giá),https://clickbuy.com.vn/masstel-izi-t2.html
Masstel izi 15 4G Chính Hãng,"390,000 ₫","500,000 ₫",22%,,(14 đánh giá),https://clickbuy.com.vn/masstel-izi-15.html
Masstel izi 16 4G Chính Hãng,"450,000 ₫",,0%,,(17 đánh giá),https://clickbuy.com.vn/masstel-izi-16.html
iPhone 16 Pro 1TB Chính Hãng VN/A,"37,990,000 ₫","43,990,000 ₫",11%,Thu cũ đổi mới giảm thêm,(45 đánh giá),https://clickbuy.com.vn/iphone-16-pro-1tb.html
Điện thoại di động Itel IT9211 4G Chính Hãng,"479,000 ₫","690,000 ₫",31%,,(9 đánh giá),https://clickbuy.com.vn/itel-it9211-chinh-hang.html
Điện thoại di động Itel it9310 4G Chính Hãng,"639,000 ₫",,0%,,(8 đánh giá),https://clickbuy.com.vn/itel-it9310-chinh-hang.html
Vivo IQOO Neo 9 Box - Bảo hành 15 tháng,"6,990,000 ₫","8,950,000 ₫",22%,,(13 đánh giá),https://clickbuy.com.vn/vivo-iqoo-neo9.html
Vivo IQOO Z9 (Snap 7 Gen 3) Box - Bảo hành 15 Tháng,"4,790,000 ₫","7,890,000 ₫",37%,[07.06 - 15.06] GIẢM ĐẬM SALE SÂU giảm thêm,(39 đánh giá),https://clickbuy.com.vn/vivo-iqoo-z9.html
Vivo IQOO Z9X 8GB 128GB Box - Bảo hành 15 tháng,"3,490,000 ₫","4,950,000 ₫",25%,[07.06 - 15.06] GIẢM ĐẬM SALE SÂU giảm thêm,(16 đánh giá),https://clickbuy.com.vn/vivo-iqoo-z9x.html
