Name,Singer
Saturday/Sunday,"Jason Derulo, David Guetta"
Made You Look,"Meghan Trainor, Kim Petras"
About You,Jessie Murph
Gold,LOI
Flowers,Miley Cyrus
Big world,Đang Cập Nhật
Bad Habit (Explicit),Steve Lacy
Dark Enough To See The Stars,Weezer
Summer Too Hot,Chris Brown
Ai No Hana,Aimyon
I Want To Be (Xin Hãy Trở Thành Người Nhà Của Tôi OST),Trịnh Tưu Hoằng (Jade Cheng)
I Love You,Nako Misaki
Bloody Mary,Lady Gaga
Siêu Nhân Không Áo Choàng,"Trúc Nhân, Nguyễn Hồng Thuận"
Lan Man,Ronboogz
Lửng Lơ (Deep House),"Masew, B Ray, REDT, Ý Tiên"
Greenlight,Hayley Kiyoko
MIDNIGHT SKY,Xodiac
Thirsty,aespa
Pancakes & Butter,Jason Mraz
U,Đang Cập Nhật
Verano,"Blessd, Rvssian"
That’s Not How This Works (Sabrina’s Version),"Charlie Puth, Dan + Shay, Sabrina Carpenter"
Kill Bill,"SZA, Doja Cat"
OVER LOVING YOU,Đang Cập Nhật
Cứ Đi Và Yêu,Đang Cập Nhật
Ghé Vào Tai,"UMIE, Freaky, Hổ"
Kill Bill,Acoustic Hearts
Trustfall (Drove Remix),P!nk
Sweet Goodbye (Slvr Remix),Robin Schulz
Thanh Xuân Vô Dạng / 青春无恙 (Đường Về Nhà Ost),Đàm Tùng Vận (Seven Tan)
Paradise,NiziU
Problem,Diêu Sâm (Yao Chen)
"Hey, Mickey!","Baby Tate, Saweetie"
Ngập Ngừng,"Winno, Hustlang Heily"
Đứa Con Hư (Remix),"Sofia, Nguyễn Hồng Thuận"
Mùa Gió Cũ,"Trung Quân, Vũ Đặng Quốc Việt"
Nơi Xứ Người Nhớ Ba Mẹ,Trung Tự
Say Đêm Nay,Đào Ngọc Sang
Yêu Thương Hay Là Nhớ,MTV Band
0 Phải Hôm Nay,"QNT, HuyR"
You Might Like It,Jason Mraz
Drowning,"Bobby,"
Forever,Dew
C’est Comme Ça,Paramore
Feather (Explicit),Sabrina Carpenter
BGVB (Bỏ Giấy Vào Bao),"Sol7, Yuno, DCOD"
Về Lúc Tàn Đông,TRUNG
Hoa Nở Không Màu (TiJak Remix),"Hoài Lâm, TiJak"
yêu anh đi mẹ anh bán bánh mì (TikTok Remix),Đang Cập Nhật
Bệnh Của Anh,"Khói, Two"
Mr. Kim,"Rhymastic, SOOBIN"
Đã Bao Lâu,Đang Cập Nhật
Biết Yêu Thật Nhiều,"Sean, Lemese"
Chân Đất,"buitruonglinh, Baby Sam, Vine"
Vaicaunoicokhiennguoithaydoi,"GREY D, tlinh"
Thay Tâm Đổi Lòng,Vương Anh Tú
Thanh Xuân Có Nhau,"Sean, Freaky"
Sunny Love,"Kinnie, TKA"
tỉnh thức sau giấc ngủ đông (storm version),"GREY D, B Ray"
Sóng Cả Không Ngã Tay Chèo,"TIA, CM1X"
Hai Lần Mất Em,Cassano
Happy Birthday,Đang Cập Nhật
Rê NDM,"Wtran, Cà Nâu"
