Name,Price (new),Price (old),Price (original),Description,Sold,Discount,Discount Rate,Rating,Review Count,Author,Công ty phát hành,Ngày xuất bản,Loại bìa,Phương thức giao hàng Seller Delivery,Nhà xuất bản,Phiên bản sách,Kích thước,Dịch Giả,Số trang,Thương hiệu,Xuất xứ thương hiệu,Xuất xứ (Made in),Chất liệu,Sản phẩm có được bảo hành không?,Bookcare,Ngôn ngữ
Sách Người Bán Hàng Vĩ Đại Nhất Thế Giới (Tái Bản 2020),118400,148000,148000,"Người bán hàng vĩ đại nhất thế giới của Og Mandino là một hành trình dài về câu chuyện của Hafid, một cậu bé chăn lạc đà nghèo, ở Jerusalem cổ đại.Cậu bé đã học được từ một thương nhân giàu có và thà...",801,29600,20,4.8,118,Og Mandino,First News - Trí Việt,2020-08-01 00:00:00,Bìa gập,Nhà bán giao hàng cho khách hàng,Nhà Xuất Bản Tổng hợp TP.HCM,,13 x 20.5 cm,Đoàn Phạm Gia Phú - Lê Thị Ngọc Hà,116,,,,,,,
Tư Duy Hệ Thống Trong Công Việc,75600,89000,89000,"TƯ DUY HỆ THỐNG TRONG CÔNG VIỆC Khi đối mặt với những vấn đề phức tạp, chúng ta không thể giải quyết chúng bằng kiểu suy nghĩ lối mòn, nước đến chân mới nhảy, mù quáng đâm đầu vào sự vụ Nếu bạn muốn ...",229,13400,15,4.5,30,Steven Schuster,1980 Books,2020-04-04 00:00:00,Bìa mềm,Nhà bán giao hàng cho khách hàng,Nhà Xuất Bản Thế Giới,,13 x 20 cm,Diệp Ngô,168,,,,,,,
Một Đời Như Kẻ Tìm Đường,143500,175000,175000,"Hai cuốn sách trước của GS. Phan Văn Trường,  “Một Đời Thương Thuyết” và “Một Đời Quản Trị”, là sự chắt lọc từ những trải nghiệm trong suốt nhiều năm tháng nghề nghiệp của bản thân. Tuy nhiên, đến với...",1827,31500,18,5.0,243,Phan Văn Trường,NXB Trẻ,2019-09-01 00:00:00,Bìa mềm,Nhà bán giao hàng cho khách hàng,,,,,416,,,,,,,
Khi Bạn Tắc Đường Thì Tôi Đang Chơi Golf (Tái Bản 2019),78700,96000,96000,"Khi Bạn Tắc Đường Thì Tôi Đang Chơi GolfLàm thế nào một người có thể đạt được thành công cân bằng tất cả mọi mặt của cuộc sống: Sự nghiệp, công việc kinh doanh, các kết quả tài chính, gia đình, sức k...",59,17300,18,5.0,7,Simon Thompson,Huy Hoàng Bookstore,2019-07-01 00:00:00,Bìa mềm,Nhà bán giao hàng cho khách hàng,,,"13,5 x 20,5 cm",,276,,,,,,,
Tôi Là Bêtô,71600,95000,95000,"Tôi Là BêtôTôi Là Bêtô là tác phẩm mới nhất của nhà văn chuyên viết cho thanh thiếu niên của Nguyễn Nhật Ánh. Anh đã được đông đảo bạn đọc biết đến qua các tác phẩm quen thuộc như Thằng quỷ nhỏ, Trại...",12240,23400,25,4.8,1215,Nguyễn Nhật Ánh,NXB Trẻ,2018-01-01 00:00:00,Bìa mềm,,NXB Trẻ,Phiên bản thường,<p>13 x 20 cm</p>,,230,,,,,,,
Máy Tính Khoa Học Casio FX-580VN X,740000,779000,779000,Phân biệt hàng thật/giảBộ Máy Tính Casio FX 580 VN X - Màu Đen + 2 Bút Bi Pilot BP-1RT - Mực XanhMáy tính CASIO FX-580VN X là sản phẩm thuộc dòng máy ClassWiz sở hữu màn hình có độ phân giải cao vư...,5820,39000,5,5.0,1473,N/A,,,,Nhà bán giao hàng cho khách hàng,,,,,,Casio,Nhật Bản,Thái Lan / Trung Quốc,,,,
Sách - Sở Hữu Hay Hiện Hữu - Erich Fromm - Bách Việt,131820,169000,169000,"1. THÔNG TIN SÁCH Tên sách:  SỞ HỮU HAY HIỆN HỮUThể loại: Tâm lý họcTác giả:  Erich FrommDịch giả: Vũ Thị Hồng NgânKhổ sách: 14,5 x 20,5 cmSố trang: 344Hình thức: Bìa mềmGiá bìa: 169.000 VNĐ...",13,37180,22,0.0,0,nhieu tac gia,Bách Việt,2025-06-03 15:32:38,Bìa mềm,,Nhà Xuất Bản Lao Động,,,,344,,,,,,,
Tư Duy Đầu Tư - Tiền Đẻ Ra Tiền,162200,239000,239000,"Tiền bạc là một trong những công cụ quyền lực nhất mà con người sở hữu. Với phần lớn mọi người, tiền luôn là thứ khó kiểm soát và nắm bắt. Bởi tính chất 2 mặt của đồng tiền - nó có thể là một người đầ...",27,76800,32,0.0,0,JL Collins,1980 Books,,Bìa mềm,,Nhà Xuất Bản Công Thương,,"13 x 20,5 cm",Trang Nguyên Linh Vân,428,,,,,,Có,
Agatha Christie. Án mạng vùng Lưỡng Hà,101000,130000,130000,"Amy Leatheran - người kể chuyện chính của chúng ta - nhận được lời mời đến một khu khảo cổ ở Iraq, để chăm sóc cho vợ của vị tiến sĩ dẫn đoàn Leidner. Quý cô Louise Leidner đang lâm vào khủng hoảng vì...",23,29000,22,5.0,2,Agatha Christie,NXB Trẻ,2025-05-23 00:00:00,Bìa mềm,,NXB Trẻ,,14 x 20.5 cm,,308,,,,,,,
Cuộc Chiến Kim Loại Hiếm,248000,248000,248000,"Một tác phẩm điều tra sâu sắc, đưa ra góc nhìn khác biệt về mặt trái của cuộc cách mạng công nghệ xanh và số hóa.Viết bởi Guillaume Pitron - nhà báo, đạo diễn phim tài liệu và tác giả người Pháp, chu...",22,0,0,0.0,0,Guillaume Pitron,Omega Plus,2025-05-05 00:00:00,Bìa mềm,,Nhà Xuất Bản Tri Thức,,24 x 16 cm,Nguyễn Trịnh,364,,,,,,Có,
Sách - Hướng dẫn kê khai thuế dành cho dân kế toán và nhà bán hàng,135000,135000,135000,"Sách - Hướng dẫn kê khai thuế dành cho dân kế toán và nhà bán hàngBộ sách chính là hướng dẫn chi tiết giúp bạn tự tin kê khai thuế dễ dàng nhanh gọn, trang bị kiến thức về thuế một cách chắc chắn, đơ...",36,0,0,0.0,0,N/A,CÔNG TY TNHH WE UP,,,,NXB Dân Trí,,,,,,,,,,,
Kỷ Vật Vô Giá,148700,219000,219000,"Nội dung sách:Sau khi chồng của Tova Sullivan qua đời, bà bắt đầu làm ca đêm tại Thủy cung Vịnh Sowell, lau sàn và dọn dẹp. Bà thích để bản thân mình bận rộn, điều mà bà vẫn luôn làm kể từ khi cậu co...",17,70300,32,5.0,1,Shelby Van Pelt,1980 Books,,Bìa mềm,,Nhà Xuất Bản Dân Trí,,"13x20,5cm",Hồng Mính,,,,,,,Có,
Bình Minh Trên Phố Brooklyn,132400,195000,195000,"Nội dung sách:Bình minh trên phố Brooklyn là câu chuyện của Margy Shannon, một cô gái trẻ nhút nhát nhưng lạc quan, sống với cha mẹ và chứng kiến cuộc đời nghèo đói và đau khổ đã khiến họ kiệt quệ nh...",35,62600,32,5.0,3,Betty Smith,1980 Books,,Bìa mềm,,Nhà Xuất Bản Thanh Niên,,"13x20,5cm",Khánh Trang,,,,,,,Có,
Sống như một dòng sông,101500,145000,145000,"“Nhìn vào một dòng sông, tôi cảm thấy bản chất sống động của đời sống, nhưng lại cũng thấy sự điềm tĩnh an nhiên của nội tâm. Trong sự chảy trôi bất tận, sông vẫn là chính nó, không biến động, không c...",27,43500,30,5.0,1,Nguyễn Thị Ngọc Minh,Nhã Nam,2025-03-13 00:00:00,Bìa mềm,,Nhà Xuất Bản Thế Giới,,14 x 20.5 x 1.5 cm,,292,,,,,,,
Sơ Cứu 360 Cẩm nang sơ cứu xử lý tình huống Bác sĩ Đinh Công Pho,190000,190000,190000,"Cuốn sách: Sơ cứu 360 là món quà đặc biệt tác giả BS Đinh Công Pho muốn gửi tới mọi gia đình, Vì một cộng đồng sống an toàn, khỏe mạnh.Cuốn sách: Sơ cứu 360 với đầy đủ nội dung, hướng dẫn chi tiết cho...",117,0,0,5.0,7,N/A,Công ty TNHH Winsmart Holdings,,Bìa mềm,,nxb lao dong ha noi,,,,,,,,,,,
EQ đỉnh cao,201600,288000,288000,EQ ĐỈNH CAO - CUỐN SÁCH KHÁM PHÁ SỨC MẠNH CỦA TRÍ TUỆ CẢM XÚCTừ bản năng đến đỉnh cao trí tuệ cảm xúcTrí tuệ cảm xúc có thật sự quan trọng trong cuộc sống? Trí tuệ cảm xúc (EQ) không chỉ đơn thuần là...,116,86400,30,4.7,3,TS. Travis Bradberry,Saigon Books,2024-03-12 00:00:00,Bìa mềm,,Nhà Xuất Bản Thế Giới,,15.5 cm x 23.5 cm,"Nguyễn Hoài Nam, Nguyễn Tuấn Quỳnh và Lê Vũ Tuệ dịch",484,,,,,,,
Thám Tử Lừng Danh Conan Tập 105,24500,25000,25000,"Ooka Momiji bị đe doạ đến tính mạng trên tàu shinkansen. Liệu quản gia Iori Muga và mọi người có thể giải cứu cô an toàn!?Ran dẫn Heiji và các bạn tới một thắng cảnh tuyệt đẹp… Nhưng khi ở trên núi, ...",230,500,2,5.0,17,Gosho Aoyama,Nhà Xuất Bản Kim Đồng,2024-03-12 00:00:00,Bìa mềm,,Nhà Xuất Bản Kim Đồng,,"11,3x17,6 cm",,,,,,,,,
Hot Search Trời Giáng,120960,189000,189000,"Hotsearch từ trên trời rơi xuống giúp XXX một bước lên trời, vừa được ghép đôi với diễn viên nổi tiếng, vừa thêm cơ hội nhận hợp đồng quay phim, quảng cáo... Cho dù kéo theo một đống anti, nhưng thế t...",27,68040,36,4.7,7,Nhan Lương Vũ,Cẩm Phong Books,2024-12-19 00:00:00,,,Nhà Xuất Bản Hà Nội,,14x20.5 cm,Lăng Linh,,,,,,,Có,
Bộ sách Harry Potter - Tiếng Việt - Khổ nhỏ - Tập 2 - Harry Potter và Phòng chứa bí mật (set 3 cuốn),112000,160000,160000,"Bộ sách Harry Potter - phiên bản khổ nhỏ bỏ túi:Harry Potter là bộ tiểu thuyết bảy cuốn về thế giới phù thủy, đã bán hơn 600 triệu bản trên toàn thế giới và được dịch sang hơn 80 thứ tiếng. Bộ tiểu t...",485,48000,30,5.0,59,J. K. Rowling,NXB Trẻ,2024-06-26 00:00:00,Bìa mềm,,NXB Trẻ,,10 x 14.5 cm,,,,,,,,,
Đắc Nhân Tâm,61100,86000,86000,Một trong những cuốn sách thay đổi cuộc đời hàng triệu người trên thế giớiĐây là phiên bản được dịch từ phiên bản “How to Win Friends and Influence People” do nhà xuất bản Simon and Schuster xuất bản...,295,24900,29,5.0,4,Dale Carnegie,Alphabooks,2024-04-15 00:00:00,Bìa mềm,,Nhà Xuất Bản Dân Trí,,14 x 20.5 cm,Lê Minh Ngọc,368,,,,,,,
