New news,Time,Link
"Trường ĐHGTVT tiếp và làm việc với các Giáo sư, nhà khoa học đến từ Hungary",31/10/2024 06:49 CH,https://www.utc.edu.vn/truong-dhgtvt-tiep-va-lam-viec-voi-cac-giao-su-nha-khoa-hoc-den-tu-hungary
Lễ trao tặng Kỷ niệm chương “Vì sự nghiệp giáo dục” cho GS. TS. Guido De Roeck,31/10/2024 01:59 CH,https://www.utc.edu.vn/le-trao-tang-ki-niem-chuong-vi-su-nghiep-giao-duc-cho-gs-ts-guido-de-roeck
Gặp mặt kỷ niệm 55 năm ngày Tựu trường Khoá 10 Khoa Công trình,30/10/2024 06:15 CH,https://www.utc.edu.vn/gap-mat-ki-niem-55-nam-ngay-tuu-truong-khoa-10-khoa-cong-trinh
Khai giảng lớp Khai thác quản lý đường sắt đô thị,30/10/2024 11:35 SA,https://www.utc.edu.vn/KTĐSĐT
Hội thảo quốc tế về phát triển bền vững trong kỹ thuật công trình năm 2024 (ICSCE 2024),25/10/2024 03:55 CH,https://www.utc.edu.vn/hoi-thao-quoc-te-ve-phat-trien-ben-vung-trong-ky-thuat-cong-trinh-nam-2024-icsce-2024-
Trường Đại học Giao thông vận tải ký thoả thuận hợp tác với Công ty TNHH Một thành viên Đường sắt Hà Nội,24/10/2024 04:52 CH,https://www.utc.edu.vn/truong-dai-hoc-giao-thong-van-tai-ky-thoa-thuan-hop-tac-voi-cong-ty-tnhh-mot-thanh-vien-duong-sat-ha-noi
"Trường Đại học Giao thông vận tải thăm, tặng quà hộ gia đình bị thiệt hại do cơn bão số 3 tại xã Vĩnh Yên (Bảo Yên, Lào Cai)",22/10/2024 10:57 SA,https://www.utc.edu.vn/truong-dai-hoc-giao-thong-van-tai-tham-tang-qua-ho-gia-dinh-bi-thiet-hai-do-con-bao-so-3-tai-xa-vinh-yen-bao-yen-lao-cai-
Gặp mặt Kỷ niệm 94 năm ngày thành lập Hội Liên hiệp Phụ nữ Việt Nam 20/10 và Cuộc thi “Sắc màu đồng phục - Gắn kết thành công”,19/10/2024 11:21 SA,https://www.utc.edu.vn/gap-mat-ki-niem-94-nam-ngay-thanh-lap-hoi-lien-hiep-phu-nu-viet-nam-20-10-va-cuoc-thi-sac-mau-dong-phuc-gan-ket-thanh-cong-
Bế giảng Khóa đào tạo sử dụng các phần mềm Mô hình thông tin xây dựng (BIM) trong thiết kế công trình giao thông,14/10/2024 07:50 SA,https://www.utc.edu.vn/be-giang-khoa-dao-tao-su-dung-cac-phan-mem-mo-hinh-thong-tin-xay-dung-bim-trong-thiet-ke-cong-trinh-giao-thong
Trường ĐHGTVT tiếp và làm việc với đoàn công tác Trường Đại học Giao thông Tây Nam – Trung Quốc,11/10/2024 07:16 CH,https://www.utc.edu.vn/truong-dhgtvt-tiep-va-lam-viec-voi-doan-cong-tac-truong-dai-hoc-giao-thong-tay-nam-trung-quoc
"Trường ĐHGTVT cùng 6 trường đại học kỹ thuật ký kết ghi nhớ hợp tác về đào tạo, NCKH lĩnh vực công nghệ cao và ký kết hợp tác với UBND tỉnh Nghệ An",05/10/2024 06:55 CH,https://www.utc.edu.vn/truong-dhgtvt-cung-6-truong-dai-hoc-ky-thuat-ky-ket-ghi-nho-hop-tac-ve-dao-tao-nckh-linh-vuc-cong-nghe-cao-va-ky-ket-hop-tac-voi-ubnd-tinh-nghe-an
